Id,skillLevel,upCost,changeAttr1,attrValue1,changeAttr2,attrValue2,changeAttr3,attrValue3,specialEffect
int,int,float,string,float,string,float,string,float,string
技能id,技能等级,解锁消耗,技能改变的属性，没有为空,每级改变的属性值,技能改变的属性，没有为空,每级改变的属性值,技能改变的属性，没有为空,每级改变的属性值,特殊效果key（如解锁功能）
0(默认值),1,,,,,,,,
1,1,100,atk,1,,,,,
1,2,500,atk,1,,,,,
1,3,1000,atk,1,,,,,
1,4,2000,atk,1,,,,,
1,5,5000,atk,1,,,,,
2,1,500,bulletCount,1,,,,,
2,2,1500,bulletCount,1,,,,,
2,3,3000,bulletCount,1,,,,,
3,1,1000,,,,,,,UnlockSuperBullet
4,1,800,ricochetCount,1,,,,,
4,2,1600,ricochetCount,1,,,,,
4,3,2400,ricochetCount,1,,,,,
